geolocation_zip_code_prefix,geolocation_lat,geolocation_lng
1001,-23.550189776551765,-46.634023555904214
1002,-23.54814573176355,-46.63497921074498
1003,-23.54899372481316,-46.635731309975874
1004,-23.549798842277003,-46.6347569437897
1005,-23.549456199830747,-46.63673294803691
1006,-23.550101811452866,-46.636136735174176
1007,-23.550046202351673,-46.63725145963765
1008,-23.546001749383464,-46.63588592135779
1009,-23.546835208320854,-46.6364906953122
1010,-23.546389438369268,-46.635226081509046
1011,-23.546908640251115,-46.63558202636042
1012,-23.547789733146864,-46.63485900505736
1013,-23.547142028323904,-46.63423580006205
1014,-23.545912805690424,-46.633615371244936
1015,-23.547665749383476,-46.631558570722675
1016,-23.54897640702995,-46.63235192955856
1017,-23.549531271947856,-46.63102384555222
1018,-23.55092851790901,-46.63243146837754
1019,-23.551774137807588,-46.63089338270139
1020,-23.55233565155142,-46.63004970984574
1021,-23.543000459064807,-46.632143233862486
1022,-23.544921826153427,-46.63193133561195
1023,-23.542330784361457,-46.63137340438761
1024,-23.54140143278026,-46.62990400057277
1025,-23.540291945676326,-46.63092805941945
1026,-23.53965712727096,-46.63188421270581
1027,-23.538082328385332,-46.630668675067795
1028,-23.535932541180532,-46.63355514575826
1029,-23.54137304898053,-46.633415988443026
1030,-23.539549291753428,-46.63302325151353
1031,-23.541905853440447,-46.63508761691669
1032,-23.540124454559958,-46.635193543797676
1033,-23.5392714370778,-46.63587808421484
1034,-23.542515317419948,-46.63736744880091
1035,-23.541614488738958,-46.64154914252655
1036,-23.54164845233629,-46.64144327735932
1037,-23.545411016454086,-46.63892437204837
1038,-23.543907379627683,-46.63999380609391
1039,-23.54137085777194,-46.639165288851196
1040,-23.541028179008823,-46.638324694969405
1041,-23.54390458746036,-46.64004648644473
1042,-23.544852949531748,-46.640410456031695
1043,-23.545765991186382,-46.64150246454141
1044,-23.545598238423416,-46.641452670153164
1045,-23.542345366178562,-46.64252697570119
1046,-23.545930039168788,-46.6439975177819
1047,-23.54618760708176,-46.64106743356166
1048,-23.54711318884073,-46.63983987489639
